SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
-0.9,1.0,-1.3,-1.3,Iris-setosa
-1.1,-0.1,-1.3,-1.3,Iris-setosa
-1.4,0.3,-1.4,-1.3,Iris-setosa
-1.5,0.1,-1.3,-1.3,Iris-setosa
-1.0,1.3,-1.3,-1.3,Iris-setosa
-0.5,2.0,-1.2,-1.1,Iris-setosa
-1.5,0.8,-1.3,-1.2,Iris-setosa
-1.0,0.8,-1.3,-1.3,Iris-setosa
-1.7,-0.4,-1.3,-1.3,Iris-setosa
-1.1,0.1,-1.3,-1.4,Iris-setosa
-0.5,1.5,-1.3,-1.3,Iris-setosa
-1.3,0.8,-1.2,-1.3,Iris-setosa
-1.3,-0.1,-1.3,-1.4,Iris-setosa
-1.9,-0.1,-1.5,-1.4,Iris-setosa
-0.1,2.2,-1.5,-1.3,Iris-setosa
-0.2,3.1,-1.3,-1.1,Iris-setosa
-0.5,2.0,-1.4,-1.1,Iris-setosa
-0.9,1.0,-1.3,-1.2,Iris-setosa
-0.2,1.7,-1.2,-1.2,Iris-setosa
-0.9,1.7,-1.3,-1.2,Iris-setosa
-0.5,0.8,-1.2,-1.3,Iris-setosa
-0.9,1.5,-1.3,-1.1,Iris-setosa
-1.5,1.3,-1.6,-1.3,Iris-setosa
-0.9,0.6,-1.2,-0.9,Iris-setosa
-1.3,0.8,-1.1,-1.3,Iris-setosa
-1.0,-0.1,-1.2,-1.3,Iris-setosa
-1.0,0.8,-1.2,-1.1,Iris-setosa
-0.8,1.0,-1.3,-1.3,Iris-setosa
-0.8,0.8,-1.3,-1.3,Iris-setosa
-1.4,0.3,-1.2,-1.3,Iris-setosa
-1.3,0.1,-1.2,-1.3,Iris-setosa
-0.5,0.8,-1.3,-1.1,Iris-setosa
-0.8,2.4,-1.3,-1.4,Iris-setosa
-0.4,2.7,-1.3,-1.3,Iris-setosa
-1.1,0.1,-1.3,-1.4,Iris-setosa
-1.0,0.3,-1.5,-1.3,Iris-setosa
-0.4,1.0,-1.4,-1.3,Iris-setosa
-1.1,0.1,-1.3,-1.4,Iris-setosa
-1.7,-0.1,-1.4,-1.3,Iris-setosa
-0.9,0.8,-1.3,-1.3,Iris-setosa
-1.0,1.0,-1.4,-1.2,Iris-setosa
-1.6,-1.7,-1.4,-1.2,Iris-setosa
-1.7,0.3,-1.4,-1.3,Iris-setosa
-1.0,1.0,-1.2,-0.8,Iris-setosa
-0.9,1.7,-1.1,-1.1,Iris-setosa
-1.3,-0.1,-1.3,-1.2,Iris-setosa
-0.9,1.7,-1.2,-1.3,Iris-setosa
-1.5,0.3,-1.3,-1.3,Iris-setosa
-0.7,1.5,-1.3,-1.3,Iris-setosa
-1.0,0.6,-1.3,-1.3,Iris-setosa
1.4,0.3,0.5,0.3,Iris-versicolor
0.7,0.3,0.4,0.4,Iris-versicolor
1.3,0.1,0.6,0.4,Iris-versicolor
-0.4,-1.7,0.1,0.1,Iris-versicolor
0.8,-0.6,0.5,0.4,Iris-versicolor
-0.2,-0.6,0.4,0.1,Iris-versicolor
0.6,0.6,0.5,0.5,Iris-versicolor
-1.1,-1.5,-0.3,-0.3,Iris-versicolor
0.9,-0.4,0.5,0.1,Iris-versicolor
-0.8,-0.8,0.1,0.3,Iris-versicolor
-1.0,-2.4,-0.1,-0.3,Iris-versicolor
0.1,-0.1,0.3,0.4,Iris-versicolor
0.2,-2.0,0.1,-0.3,Iris-versicolor
0.3,-0.4,0.5,0.3,Iris-versicolor
-0.3,-0.4,-0.1,0.1,Iris-versicolor
1.0,0.1,0.4,0.3,Iris-versicolor
-0.3,-0.1,0.4,0.4,Iris-versicolor
-0.1,-0.8,0.2,-0.3,Iris-versicolor
0.4,-2.0,0.4,0.4,Iris-versicolor
-0.3,-1.3,0.1,-0.1,Iris-versicolor
0.1,0.3,0.6,0.8,Iris-versicolor
0.3,-0.6,0.1,0.1,Iris-versicolor
0.6,-1.3,0.6,0.4,Iris-versicolor
0.3,-0.6,0.5,0.0,Iris-versicolor
0.7,-0.4,0.3,0.1,Iris-versicolor
0.9,-0.1,0.4,0.3,Iris-versicolor
1.2,-0.6,0.6,0.3,Iris-versicolor
1.0,-0.1,0.7,0.7,Iris-versicolor
0.2,-0.4,0.4,0.4,Iris-versicolor
-0.2,-1.1,-0.1,-0.3,Iris-versicolor
-0.4,-1.5,0.0,-0.1,Iris-versicolor
-0.4,-1.5,-0.0,-0.3,Iris-versicolor
-0.1,-0.8,0.1,0.0,Iris-versicolor
0.2,-0.8,0.8,0.5,Iris-versicolor
-0.5,-0.1,0.4,0.4,Iris-versicolor
0.2,0.8,0.4,0.5,Iris-versicolor
1.0,0.1,0.5,0.4,Iris-versicolor
0.6,-1.7,0.4,0.1,Iris-versicolor
-0.3,-0.1,0.2,0.1,Iris-versicolor
-0.4,-1.3,0.1,0.1,Iris-versicolor
-0.4,-1.1,0.4,0.0,Iris-versicolor
0.3,-0.1,0.5,0.3,Iris-versicolor
-0.1,-1.1,0.1,0.0,Iris-versicolor
-1.0,-1.7,-0.3,-0.3,Iris-versicolor
-0.3,-0.8,0.3,0.1,Iris-versicolor
-0.2,-0.1,0.3,0.0,Iris-versicolor
-0.2,-0.4,0.3,0.1,Iris-versicolor
0.4,-0.4,0.3,0.1,Iris-versicolor
-0.9,-1.3,-0.4,-0.1,Iris-versicolor
-0.2,-0.6,0.2,0.1,Iris-versicolor
0.6,0.6,1.3,1.7,Iris-virginica
-0.1,-0.8,0.8,0.9,Iris-virginica
1.5,-0.1,1.2,1.2,Iris-virginica
0.6,-0.4,1.0,0.8,Iris-virginica
0.8,-0.1,1.2,1.3,Iris-virginica
2.1,-0.1,1.6,1.2,Iris-virginica
-1.1,-1.3,0.4,0.7,Iris-virginica
1.8,-0.4,1.4,0.8,Iris-virginica
1.0,-1.3,1.2,0.8,Iris-virginica
1.6,1.3,1.3,1.7,Iris-virginica
0.8,0.3,0.8,1.1,Iris-virginica
0.7,-0.8,0.9,0.9,Iris-virginica
1.2,-0.1,1.0,1.2,Iris-virginica
-0.2,-1.3,0.7,1.1,Iris-virginica
-0.1,-0.6,0.8,1.6,Iris-virginica
0.7,0.3,0.9,1.4,Iris-virginica
0.8,-0.1,1.0,0.8,Iris-virginica
2.2,1.7,1.7,1.3,Iris-virginica
2.2,-1.1,1.8,1.4,Iris-virginica
0.2,-2.0,0.7,0.4,Iris-virginica
1.3,0.3,1.1,1.4,Iris-virginica
-0.3,-0.6,0.6,1.1,Iris-virginica
2.2,-0.6,1.7,1.1,Iris-virginica
0.6,-0.8,0.6,0.8,Iris-virginica
1.0,0.6,1.1,1.2,Iris-virginica
1.6,0.3,1.3,0.8,Iris-virginica
0.4,-0.6,0.6,0.8,Iris-virginica
0.3,-0.1,0.6,0.8,Iris-virginica
0.7,-0.6,1.0,1.2,Iris-virginica
1.6,-0.1,1.2,0.5,Iris-virginica
1.9,-0.6,1.3,0.9,Iris-virginica
2.5,1.7,1.5,1.1,Iris-virginica
0.7,-0.6,1.0,1.3,Iris-virginica
0.6,-0.6,0.8,0.4,Iris-virginica
0.3,-1.1,1.0,0.3,Iris-virginica
2.2,-0.1,1.3,1.4,Iris-virginica
0.6,0.8,1.0,1.6,Iris-virginica
0.7,0.1,1.0,0.8,Iris-virginica
0.2,-0.1,0.6,0.8,Iris-virginica
1.3,0.1,0.9,1.2,Iris-virginica
1.0,0.1,1.0,1.6,Iris-virginica
1.3,0.1,0.8,1.4,Iris-virginica
-0.1,-0.8,0.8,0.9,Iris-virginica
1.2,0.3,1.2,1.4,Iris-virginica
1.0,0.6,1.1,1.7,Iris-virginica
1.0,-0.1,0.8,1.4,Iris-virginica
0.6,-1.3,0.7,0.9,Iris-virginica
0.8,-0.1,0.8,1.1,Iris-virginica
0.4,0.8,0.9,1.4,Iris-virginica
0.1,-0.1,0.8,0.8,Iris-virginica
